"","group","method","AUC"
"1","train","nn",0.960959905431769
"2","train","ss",0.801328911525342
"3","train","ssnn",0.900734192916796
"4","validation","nn",0.944219572748874
"5","validation","ss",0.801462996648792
"6","validation","ssnn",0.871745355687425
