"","group","method","AUC"
"1","train","nn",0.909566809745659
"2","train","ss",0.960853799001936
"3","train","ssnn",0.774794775935703
"4","validation","nn",0.877807318817391
"5","validation","ss",0.91104960879641
"6","validation","ssnn",0.744313316522802
