"","group","method","AUC"
"1","train","nn",0.941741165515717
"2","train","ss",0.90249172572373
"3","train","ssnn",0.870414973299297
"4","validation","nn",0.92271059881195
"5","validation","ss",0.879652930423864
"6","validation","ssnn",0.835782175460168
