"","group","method","AUC"
"1","train","nn",0.972072059544602
"2","train","ss",0.846444986061989
"3","train","ssnn",0.927791864845029
"4","validation","nn",0.956209361771074
"5","validation","ss",0.835574403876003
"6","validation","ssnn",0.902728112113841
